City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
461,luba,3.4568,8.5547,299.74,87,83,3.82,GQ,1696098351
462,la'ie,21.6477,-157.9253,301.13,78,84,4.92,US,1696098351
463,greeley,40.4233,-104.7091,299.46,39,0,1.54,US,1696098148
464,sibu,2.3,111.8167,298.32,100,40,0.0,MY,1696098352
465,antofagasta,-23.65,-70.4,291.75,64,23,4.05,CL,1696098352
466,paradip garh,20.3167,86.6167,300.74,84,100,5.19,IN,1696098352
467,conception bay south,47.4999,-52.9981,290.0,80,40,0.91,CA,1696098352
468,lorengau,-2.0226,147.2712,299.99,83,100,1.85,PG,1696098352
469,pariaman,-0.619,100.12,299.18,88,65,1.91,ID,1696098352
470,buka,40.8108,69.1986,290.8,28,8,1.24,UZ,1696098353
471,patong,7.8961,98.2966,304.27,71,39,3.84,TH,1696098353
472,mayqayyng,51.4625,75.7986,284.56,67,100,0.85,KZ,1696098353
473,fort bragg,35.139,-79.006,297.49,71,100,3.6,US,1696098353
474,tucuma,-0.1833,-50.05,306.81,47,65,4.66,BR,1696098353
475,washington,47.5001,-120.5015,287.7,54,0,1.27,US,1696098353
476,sidi ifni,29.3797,-10.173,310.01,48,15,3.3,MA,1696098353
477,tazacorte,28.629,-17.9293,298.79,79,75,3.09,ES,1696098353
478,minas de marcona,-15.2119,-75.1103,293.19,61,53,3.71,PE,1696098354
479,dampit,-8.2116,112.7493,292.32,92,93,2.0,ID,1696098354
480,jayapura,-2.5333,140.7,296.81,92,81,2.59,ID,1696098354
481,amuntai,-2.4177,115.2494,297.99,64,98,0.03,ID,1696098354
482,san rafael del yuma,18.4299,-68.6739,306.26,64,64,5.65,DO,1696098354
483,ohara,35.25,140.3833,299.0,84,56,9.25,JP,1696098354
484,chos malal,-37.3781,-70.2709,291.44,24,1,0.8,AR,1696098354
485,yeppoon,-23.1333,150.7333,290.03,66,50,4.57,AU,1696098355
486,smithers,54.7804,-127.1743,280.33,87,40,0.0,CA,1696098355
487,labytnangi,66.6572,66.4183,274.49,73,100,4.79,RU,1696098355
488,sierra grande,-41.606,-65.3557,291.41,19,0,8.89,AR,1696098355
489,kayyerkan,69.3786,87.7439,266.65,100,57,7.04,RU,1696098355
490,porteirinha,-15.7433,-43.0283,308.44,28,9,3.95,BR,1696098355
491,huron,41.1501,-82.5499,298.1,68,4,3.43,US,1696098355
492,bemidji,47.4736,-94.8803,295.31,95,100,3.09,US,1696098355
493,inhambane,-23.865,35.3833,298.14,88,40,10.29,MZ,1696098356
494,selfoss,63.9331,-20.9971,282.06,81,100,6.22,IS,1696098356
495,hit,33.6416,42.8251,302.01,26,4,2.45,IQ,1696098249
496,haiku-pauwela,20.9219,-156.3051,300.47,65,20,5.66,US,1696098331
497,bokoro,12.3807,17.0568,304.13,52,62,1.89,TD,1696098356
498,banikoara,11.2985,2.4386,300.66,68,41,2.15,BJ,1696098356
499,baruun-urt,46.6806,113.2792,279.1,56,20,2.69,MN,1696098357
500,juankoski,63.0667,28.35,285.51,95,54,4.05,FI,1696098357
501,suwayr,30.1171,40.3893,303.67,17,4,0.98,SA,1696098357
502,dryden,49.7833,-92.7503,291.31,63,0,4.12,CA,1696098357
503,usinsk,65.9939,57.5281,281.7,92,100,9.39,RU,1696098357
504,emerald,-23.5333,148.1667,287.23,79,0,2.97,AU,1696098357
505,phan thiet,10.9333,108.1,298.81,87,58,1.59,VN,1696098134
506,nar'yan-mar,67.6713,53.087,280.43,90,100,8.49,RU,1696098357
507,keren,15.7778,38.4581,297.92,29,2,2.31,ER,1696098358
508,menaka,15.9182,2.4022,312.58,14,35,4.81,ML,1696098358
509,fort st. john,56.2499,-120.8529,278.09,100,0,4.63,CA,1696098358
510,mae hong son,19.3003,97.9685,295.78,99,99,0.4,TH,1696098358
511,portland,45.5234,-122.6762,290.2,74,20,3.09,US,1696098217
512,ierapetra,35.01,25.7353,297.67,53,37,3.13,GR,1696098358
513,subotica,46.1,19.6667,293.78,59,97,3.73,RS,1696098237
514,nemuro,43.3236,145.575,289.77,82,100,9.03,JP,1696098358
515,thayetmyo,19.3167,95.1833,297.02,97,86,3.15,MM,1696098359
516,nurota,40.5614,65.6886,288.87,35,16,0.63,UZ,1696098359
517,owando,-0.4819,15.8999,298.71,79,100,0.77,CG,1696098359
518,frontera,26.9333,-101.45,303.65,49,31,1.79,MX,1696098359
519,hotan,37.0997,79.9269,291.33,27,22,3.44,CN,1696098359
520,caleta de carquin,-11.0925,-77.6267,294.59,76,99,4.95,PE,1696098359
521,port-vila,-17.7338,168.3219,292.93,77,75,2.06,VU,1696098360
522,tabuk,17.4189,121.4443,297.83,93,88,0.99,PH,1696098360
523,pavlovskaya,46.1328,39.7856,293.86,35,26,5.05,RU,1696098360
524,lauro de freitas,-12.8944,-38.3272,300.16,74,75,3.6,BR,1696098267
525,darhan,49.4867,105.9228,280.09,66,9,2.05,MN,1696098360
526,port lincoln,-34.7333,135.8667,286.23,78,22,6.89,AU,1696098360
527,saudarkrokur,65.7461,-19.6394,279.3,74,90,1.28,IS,1696098360
528,kangaba,11.9333,-8.4167,301.76,71,39,1.63,ML,1696098361
529,siem reap,13.5,104.0,301.01,90,100,1.26,KH,1696098361
530,la sarre,48.8002,-79.1996,294.01,61,54,5.02,CA,1696098361
531,gurupi,-11.7292,-49.0686,312.23,21,56,1.34,BR,1696098361
532,vanino,49.0869,140.2543,286.44,92,100,2.05,RU,1696098361
533,alpinopolis,-20.8636,-46.3881,305.37,35,52,0.97,BR,1696098362
534,dzilam gonzalez,21.2833,-88.9333,305.55,55,99,0.86,MX,1696098362
535,nishinoomote,30.7333,131.0,299.64,74,0,6.55,JP,1696098362
536,seka,17.9285,103.9552,297.45,94,99,0.54,TH,1696098362
537,eyl,7.9803,49.8164,299.58,80,52,9.62,SO,1696098362
538,sona,45.4388,10.8255,296.07,68,0,0.51,IT,1696098362
539,motueka,-41.1333,173.0167,280.43,81,25,2.29,NZ,1696098363
540,rantoul,40.3084,-88.1559,302.03,41,0,3.6,US,1696098363
541,gisborne,-38.6533,178.0042,279.33,59,3,3.02,NZ,1696098363
542,bogatoye,53.0601,51.3325,286.69,66,75,2.23,RU,1696098363
543,acapulco de juarez,16.8634,-99.8901,306.05,62,75,3.6,MX,1696098363
544,enzan,35.7,138.7333,294.76,84,88,1.68,JP,1696098363
545,rosarito,32.3333,-117.0333,294.66,74,88,3.24,MX,1696098364
546,shiqian,27.5225,108.2281,295.86,95,80,1.37,CN,1696098364
547,ambon,-3.6954,128.1814,300.3,95,40,1.54,ID,1696098215
548,suva,-18.1416,178.4415,294.86,73,75,1.54,FJ,1696098364
549,panama city beach,30.1766,-85.8055,303.7,59,0,4.63,US,1696098364
550,cidreira,-30.1811,-50.2056,290.08,87,89,5.97,BR,1696098364
551,iola,37.9245,-95.4,304.54,40,0,6.17,US,1696098364
552,urangan,-25.3,152.9,292.76,69,2,3.45,AU,1696098365
553,port antonio,18.18,-76.4612,308.7,66,10,3.2,JM,1696098365
554,druskininkai,54.0167,23.9667,284.94,84,59,2.44,LT,1696098365
555,ghadamis,30.1337,9.5007,302.5,29,0,5.47,LY,1696098365
556,ketchikan,55.3422,-131.6461,283.14,87,20,0.0,US,1696098365
557,pyshma,56.9523,63.2513,280.14,90,100,1.32,RU,1696098365
558,tarnogskiy gorodok,60.4997,43.5761,287.27,84,100,4.15,RU,1696098366
559,zouerate,22.7187,-12.4521,309.21,11,79,7.21,MR,1696098366
560,aguadilla,18.4275,-67.1541,306.74,76,75,8.23,PR,1696098366
561,saint-joseph,-21.3667,55.6167,295.36,82,30,4.25,RE,1696098366
562,puerto madryn,-42.7692,-65.0385,289.94,32,0,11.51,AR,1696098366
563,valognes,49.5088,-1.4705,290.81,72,100,3.09,FR,1696098366
564,mazagao,-0.115,-51.2894,307.18,30,54,2.37,BR,1696098367
565,burang,30.25,81.1667,277.74,80,40,2.02,CN,1696098367
566,jombang,-7.546,112.2331,295.27,86,79,3.46,ID,1696098367
567,anna regina,7.2644,-58.5077,304.41,62,60,4.43,GY,1696098367
568,baracoa,20.3467,-74.4958,304.86,66,41,3.33,CU,1696098367
569,puerto leguizamo,-0.1934,-74.7819,309.56,39,97,0.97,CO,1696098368
570,kuala terengganu,5.3302,103.1408,300.12,89,20,0.0,MY,1696098368
571,augsburg,48.3667,10.8833,288.33,87,0,1.54,DE,1696098368
572,kolonia,50.9333,6.95,289.72,76,0,2.06,DE,1696098101
573,arkhangel'sk,64.5401,40.5433,287.11,89,96,3.73,RU,1696098231
574,lodeynoye pole,60.726,33.5531,287.76,90,96,4.87,RU,1696098368
575,aleg,17.0481,-13.9209,312.92,19,94,1.79,MR,1696098368
576,tanout,14.9709,8.8879,306.44,33,69,5.07,NE,1696098368
577,sukabumi,-6.9181,106.9267,293.41,89,71,0.84,ID,1696098223
